name,count,mean,std,min,25%,50%,75%,max
Marital Status,4424.0,1.1785714285714286,0.60574694613071,1.0,1.0,1.0,1.0,6.0
Application order,4424.0,1.7278481012658229,1.313793078362206,0.0,1.0,1.0,2.0,9.0
Course,4424.0,8856.642631103074,2063.566416197521,33.0,9085.0,9238.0,9556.0,9991.0
Daytime/evening attendance,4424.0,0.8908227848101266,0.3118966814817871,0.0,1.0,1.0,1.0,1.0
Previous qualification,4424.0,4.577757685352622,10.21659234126796,1.0,1.0,1.0,1.0,43.0
Previous qualification (grade),4424.0,132.6133137432188,13.188331685876213,95.0,125.0,133.1,140.0,190.0
Nacionality,4424.0,1.8731916817359855,6.914514032330145,1.0,1.0,1.0,1.0,109.0
Mother's qualification,4424.0,19.561934900542497,15.603186323037939,1.0,2.0,19.0,37.0,44.0
Father's qualification,4424.0,22.275316455696203,15.343107814088581,1.0,3.0,19.0,37.0,44.0
Mother's occupation,4424.0,10.960895117540687,26.418252905143117,0.0,4.0,5.0,9.0,194.0
Father's occupation,4424.0,11.032323688969258,25.26304024234492,0.0,4.0,7.0,9.0,195.0
Admission grade,4424.0,126.97811934900544,14.482000818849468,95.0,117.9,126.1,134.8,190.0
Educational special needs,4424.0,0.011528028933092224,0.10676005722115345,0.0,0.0,0.0,0.0,1.0
Gender,4424.0,0.35171790235081374,0.47756043706245527,0.0,0.0,0.0,1.0,1.0
Scholarship holder,4424.0,0.24841772151898733,0.43214415391219485,0.0,0.0,0.0,0.0,1.0
Age at enrollment,4424.0,23.265144665461122,7.587815615029815,17.0,19.0,20.0,25.0,70.0
Displaced,4424.0,0.548372513562387,0.49771085343169424,0.0,0.0,1.0,1.0,1.0
Debtor,4424.0,0.11369801084990959,0.3174800096578208,0.0,0.0,0.0,0.0,1.0
International,4424.0,0.024864376130198915,0.15572931888680808,0.0,0.0,0.0,0.0,1.0
Curricular units 1st sem (credited),4424.0,0.7099909584086799,2.3605066191181976,0.0,0.0,0.0,0.0,20.0
Curricular units 1st sem (grade),4424.0,10.640821575178572,4.843663380671798,0.0,11.0,12.28571429,13.4,18.875
Curricular units 2nd sem (credited),4424.0,0.5418173598553345,1.9185461437101994,0.0,0.0,0.0,0.0,19.0
Curricular units 2nd sem (grade),4424.0,10.230205722719258,5.210807954658554,0.0,10.75,12.2,13.33333333,18.57142857
Unemployment rate,4424.0,11.56613924050633,2.6638504843026354,7.6,9.4,11.1,13.9,16.2
Inflation rate,4424.0,1.228028933092224,1.3827106915401126,-0.8,0.3,1.4,2.6,3.7
GDP,4424.0,0.001968806509945778,2.2699354412537676,-4.06,-1.7,0.32,1.79,3.51
